2010 Federal Election Senate First Preferences By Polling Place for Division 103 [Event:15508 Phase:FinalResults Generated:2013-01-22T15:03:01 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,103,Banks,46,Blakehurst North,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,103,Banks,46,Blakehurst North,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,103,Banks,46,Blakehurst North,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,103,Banks,46,Blakehurst North,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,103,Banks,46,Blakehurst North,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,103,Banks,46,Blakehurst North,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,103,Banks,46,Blakehurst North,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,103,Banks,46,Blakehurst North,ZZ,0,99,INFORMAL,,47
NSW,103,Banks,55,Mortdale Central,A,22214,0,A Ticket Votes,Socialist Alliance,12
NSW,103,Banks,55,Mortdale Central,A,21446,1,"EVANS, Rachel",Socialist Alliance,1
NSW,103,Banks,55,Mortdale Central,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,103,Banks,55,Mortdale Central,B,22230,0,B Ticket Votes,,1
NSW,103,Banks,55,Mortdale Central,B,22023,1,"HODGES, Robert",,0
NSW,103,Banks,55,Mortdale Central,B,22024,2,"FRIER, Bob",,0
NSW,103,Banks,55,Mortdale Central,C,22224,0,C Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,C,21904,1,"ROBINSON, Tony",,0
NSW,103,Banks,55,Mortdale Central,C,21907,2,"SELBY, Noel",,0
NSW,103,Banks,55,Mortdale Central,D,22215,0,D Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,D,21429,1,"HODGES, Darrin",,0
NSW,103,Banks,55,Mortdale Central,D,21430,2,"FOLKES, Nick",,0
NSW,103,Banks,55,Mortdale Central,E,22220,0,E Ticket Votes,Building Australia,3
NSW,103,Banks,55,Mortdale Central,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,103,Banks,55,Mortdale Central,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,103,Banks,55,Mortdale Central,F,22212,0,F Ticket Votes,Senator On-Line,3
NSW,103,Banks,55,Mortdale Central,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,103,Banks,55,Mortdale Central,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,103,Banks,55,Mortdale Central,G,22222,0,G Ticket Votes,Communist,7
NSW,103,Banks,55,Mortdale Central,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,103,Banks,55,Mortdale Central,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,103,Banks,55,Mortdale Central,H,22233,0,H Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,H,22021,1,"BLOOM, Nadia",,0
NSW,103,Banks,55,Mortdale Central,H,22022,2,"IRELAND, Bede",,0
NSW,103,Banks,55,Mortdale Central,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,4
NSW,103,Banks,55,Mortdale Central,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,103,Banks,55,Mortdale Central,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,103,Banks,55,Mortdale Central,J,22219,0,J Ticket Votes,Australian Democrats,16
NSW,103,Banks,55,Mortdale Central,J,21733,1,"CLANCY, Fiona",Australian Democrats,2
NSW,103,Banks,55,Mortdale Central,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,103,Banks,55,Mortdale Central,K,22218,0,K Ticket Votes,,1
NSW,103,Banks,55,Mortdale Central,K,21714,1,"SAMPSON, Meg",,0
NSW,103,Banks,55,Mortdale Central,K,21718,2,"HINCHCLIFFE, J",,0
NSW,103,Banks,55,Mortdale Central,L,22232,0,L Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,103,Banks,55,Mortdale Central,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,103,Banks,55,Mortdale Central,M,22207,0,M Ticket Votes,The Climate Sceptics,6
NSW,103,Banks,55,Mortdale Central,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,103,Banks,55,Mortdale Central,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,103,Banks,55,Mortdale Central,N,22213,0,N Ticket Votes,Secular Party of Australia,3
NSW,103,Banks,55,Mortdale Central,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,103,Banks,55,Mortdale Central,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,103,Banks,55,Mortdale Central,O,22216,0,O Ticket Votes,Shooters and Fishers,28
NSW,103,Banks,55,Mortdale Central,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,1
NSW,103,Banks,55,Mortdale Central,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,103,Banks,55,Mortdale Central,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,16
NSW,103,Banks,55,Mortdale Central,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,55,Mortdale Central,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,55,Mortdale Central,Q,22203,0,Q Ticket Votes,Australian Sex Party,25
NSW,103,Banks,55,Mortdale Central,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,1
NSW,103,Banks,55,Mortdale Central,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,103,Banks,55,Mortdale Central,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,103,Banks,55,Mortdale Central,R,22227,0,R Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,R,21993,1,"BARKER, David",,0
NSW,103,Banks,55,Mortdale Central,R,21994,2,"ZUREIK, S G",,0
NSW,103,Banks,55,Mortdale Central,S,22204,0,S Ticket Votes,Socialist Equality Party,4
NSW,103,Banks,55,Mortdale Central,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,103,Banks,55,Mortdale Central,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,103,Banks,55,Mortdale Central,T,22223,0,T Ticket Votes,,1
NSW,103,Banks,55,Mortdale Central,T,21908,1,"BOURKE, William",,0
NSW,103,Banks,55,Mortdale Central,T,21910,2,"O'CONNOR, Mark",,0
NSW,103,Banks,55,Mortdale Central,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),1
NSW,103,Banks,55,Mortdale Central,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),0
NSW,103,Banks,55,Mortdale Central,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,103,Banks,55,Mortdale Central,V,22209,0,V Ticket Votes,Family First,12
NSW,103,Banks,55,Mortdale Central,V,21178,1,"SWANE, Greg",Family First,0
NSW,103,Banks,55,Mortdale Central,V,21182,2,"LAMB, Phil",Family First,1
NSW,103,Banks,55,Mortdale Central,W,22206,0,W Ticket Votes,Labor,729
NSW,103,Banks,55,Mortdale Central,W,21012,1,"FAULKNER, John",Labor,4
NSW,103,Banks,55,Mortdale Central,W,21016,2,"THISTLETHWAITE, Matthew",Labor,0
NSW,103,Banks,55,Mortdale Central,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,103,Banks,55,Mortdale Central,W,21020,4,"MURNAIN, Anne",Labor,1
NSW,103,Banks,55,Mortdale Central,W,21022,5,"SEATON, Fiona",Labor,0
NSW,103,Banks,55,Mortdale Central,W,21025,6,"McDERMOTT, Hugh",Labor,0
NSW,103,Banks,55,Mortdale Central,X,22231,0,X Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,X,21995,1,"STEFANAC, Jennifer",,0
NSW,103,Banks,55,Mortdale Central,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,103,Banks,55,Mortdale Central,Y,22228,0,Y Ticket Votes,Carers Alliance,7
NSW,103,Banks,55,Mortdale Central,Y,21984,1,"CARTER, Marylou",Carers Alliance,1
NSW,103,Banks,55,Mortdale Central,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,103,Banks,55,Mortdale Central,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),32
NSW,103,Banks,55,Mortdale Central,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),3
NSW,103,Banks,55,Mortdale Central,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,103,Banks,55,Mortdale Central,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),0
NSW,103,Banks,55,Mortdale Central,AA,22210,0,AA Ticket Votes,Liberal/Nationals,605
NSW,103,Banks,55,Mortdale Central,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,6
NSW,103,Banks,55,Mortdale Central,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,103,Banks,55,Mortdale Central,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,103,Banks,55,Mortdale Central,AA,21771,4,"HUGHES, Hollie",Liberal,0
NSW,103,Banks,55,Mortdale Central,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,103,Banks,55,Mortdale Central,AA,21776,6,"BILIC, George",Liberal,0
NSW,103,Banks,55,Mortdale Central,AB,22221,0,AB Ticket Votes,,0
NSW,103,Banks,55,Mortdale Central,AB,21901,1,"ECKFORD, Michael",,0
NSW,103,Banks,55,Mortdale Central,AB,21902,2,"STEVENS, Criselee",,0
NSW,103,Banks,55,Mortdale Central,AC,22225,0,AC Ticket Votes,One Nation,12
NSW,103,Banks,55,Mortdale Central,AC,21824,1,"WEBBER, Andrew",One Nation,1
NSW,103,Banks,55,Mortdale Central,AC,21827,2,"BRETT, John",One Nation,0
NSW,103,Banks,55,Mortdale Central,AD,22208,0,AD Ticket Votes,The Greens,196
NSW,103,Banks,55,Mortdale Central,AD,21147,1,"RHIANNON, Lee",The Greens,7
NSW,103,Banks,55,Mortdale Central,AD,21677,2,"McILROY, Keith",The Greens,1
NSW,103,Banks,55,Mortdale Central,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,103,Banks,55,Mortdale Central,AD,21160,4,"SWIFT, Harriett",The Greens,0
NSW,103,Banks,55,Mortdale Central,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,103,Banks,55,Mortdale Central,AD,21169,6,"KANAK, Dominic Wy",The Greens,1
NSW,103,Banks,55,Mortdale Central,AE,22234,0,AE Ticket Votes,,1
NSW,103,Banks,55,Mortdale Central,AE,22202,1,"KERNOT, Cheryl",,1
NSW,103,Banks,55,Mortdale Central,AE,22201,2,"CANT, Simon",,0
NSW,103,Banks,55,Mortdale Central,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),28
NSW,103,Banks,55,Mortdale Central,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),1
NSW,103,Banks,55,Mortdale Central,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,103,Banks,55,Mortdale Central,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,103,Banks,55,Mortdale Central,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,103,Banks,55,Mortdale Central,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,103,Banks,55,Mortdale Central,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,103,Banks,55,Mortdale Central,UG,21268,4,"PAPE, Bryan",Independent,1
NSW,103,Banks,55,Mortdale Central,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,103,Banks,55,Mortdale Central,ZZ,0,99,INFORMAL,,112
NSW,103,Banks,56,Mortdale East,A,22214,0,A Ticket Votes,Socialist Alliance,6
NSW,103,Banks,56,Mortdale East,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,103,Banks,56,Mortdale East,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,103,Banks,56,Mortdale East,B,22230,0,B Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,B,22023,1,"HODGES, Robert",,0
NSW,103,Banks,56,Mortdale East,B,22024,2,"FRIER, Bob",,0
NSW,103,Banks,56,Mortdale East,C,22224,0,C Ticket Votes,,1
NSW,103,Banks,56,Mortdale East,C,21904,1,"ROBINSON, Tony",,0
NSW,103,Banks,56,Mortdale East,C,21907,2,"SELBY, Noel",,0
NSW,103,Banks,56,Mortdale East,D,22215,0,D Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,D,21429,1,"HODGES, Darrin",,0
NSW,103,Banks,56,Mortdale East,D,21430,2,"FOLKES, Nick",,0
NSW,103,Banks,56,Mortdale East,E,22220,0,E Ticket Votes,Building Australia,2
NSW,103,Banks,56,Mortdale East,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,103,Banks,56,Mortdale East,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,103,Banks,56,Mortdale East,F,22212,0,F Ticket Votes,Senator On-Line,0
NSW,103,Banks,56,Mortdale East,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,103,Banks,56,Mortdale East,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,103,Banks,56,Mortdale East,G,22222,0,G Ticket Votes,Communist,6
NSW,103,Banks,56,Mortdale East,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,103,Banks,56,Mortdale East,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,103,Banks,56,Mortdale East,H,22233,0,H Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,H,22021,1,"BLOOM, Nadia",,0
NSW,103,Banks,56,Mortdale East,H,22022,2,"IRELAND, Bede",,0
NSW,103,Banks,56,Mortdale East,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,0
NSW,103,Banks,56,Mortdale East,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,103,Banks,56,Mortdale East,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,103,Banks,56,Mortdale East,J,22219,0,J Ticket Votes,Australian Democrats,8
NSW,103,Banks,56,Mortdale East,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,103,Banks,56,Mortdale East,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,103,Banks,56,Mortdale East,K,22218,0,K Ticket Votes,,1
NSW,103,Banks,56,Mortdale East,K,21714,1,"SAMPSON, Meg",,0
NSW,103,Banks,56,Mortdale East,K,21718,2,"HINCHCLIFFE, J",,0
NSW,103,Banks,56,Mortdale East,L,22232,0,L Ticket Votes,,1
NSW,103,Banks,56,Mortdale East,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,103,Banks,56,Mortdale East,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,103,Banks,56,Mortdale East,M,22207,0,M Ticket Votes,The Climate Sceptics,3
NSW,103,Banks,56,Mortdale East,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,1
NSW,103,Banks,56,Mortdale East,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,103,Banks,56,Mortdale East,N,22213,0,N Ticket Votes,Secular Party of Australia,0
NSW,103,Banks,56,Mortdale East,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,103,Banks,56,Mortdale East,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,103,Banks,56,Mortdale East,O,22216,0,O Ticket Votes,Shooters and Fishers,13
NSW,103,Banks,56,Mortdale East,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,0
NSW,103,Banks,56,Mortdale East,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,103,Banks,56,Mortdale East,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,4
NSW,103,Banks,56,Mortdale East,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,56,Mortdale East,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,56,Mortdale East,Q,22203,0,Q Ticket Votes,Australian Sex Party,28
NSW,103,Banks,56,Mortdale East,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,3
NSW,103,Banks,56,Mortdale East,Q,20947,2,"CAMPBELL, Huw",Australian Sex Party,0
NSW,103,Banks,56,Mortdale East,Q,20949,3,"ZIMMERMAN, Larissa",Australian Sex Party,0
NSW,103,Banks,56,Mortdale East,R,22227,0,R Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,R,21993,1,"BARKER, David",,0
NSW,103,Banks,56,Mortdale East,R,21994,2,"ZUREIK, S G",,0
NSW,103,Banks,56,Mortdale East,S,22204,0,S Ticket Votes,Socialist Equality Party,1
NSW,103,Banks,56,Mortdale East,S,20978,1,"BEAMS, Nick",Socialist Equality Party,0
NSW,103,Banks,56,Mortdale East,S,20981,2,"ZABALA, Gabriela",Socialist Equality Party,0
NSW,103,Banks,56,Mortdale East,T,22223,0,T Ticket Votes,,1
NSW,103,Banks,56,Mortdale East,T,21908,1,"BOURKE, William",,1
NSW,103,Banks,56,Mortdale East,T,21910,2,"O'CONNOR, Mark",,0
NSW,103,Banks,56,Mortdale East,U,22217,0,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),0
NSW,103,Banks,56,Mortdale East,U,21413,1,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),1
NSW,103,Banks,56,Mortdale East,U,21420,2,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),0
NSW,103,Banks,56,Mortdale East,V,22209,0,V Ticket Votes,Family First,13
NSW,103,Banks,56,Mortdale East,V,21178,1,"SWANE, Greg",Family First,4
NSW,103,Banks,56,Mortdale East,V,21182,2,"LAMB, Phil",Family First,0
NSW,103,Banks,56,Mortdale East,W,22206,0,W Ticket Votes,Labor,553
NSW,103,Banks,56,Mortdale East,W,21012,1,"FAULKNER, John",Labor,6
NSW,103,Banks,56,Mortdale East,W,21016,2,"THISTLETHWAITE, Matthew",Labor,1
NSW,103,Banks,56,Mortdale East,W,21018,3,"HUTCHINS, Steve",Labor,0
NSW,103,Banks,56,Mortdale East,W,21020,4,"MURNAIN, Anne",Labor,0
NSW,103,Banks,56,Mortdale East,W,21022,5,"SEATON, Fiona",Labor,0
NSW,103,Banks,56,Mortdale East,W,21025,6,"McDERMOTT, Hugh",Labor,1
NSW,103,Banks,56,Mortdale East,X,22231,0,X Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,X,21995,1,"STEFANAC, Jennifer",,0
NSW,103,Banks,56,Mortdale East,X,21997,2,"COOLEY, Tucky Tania",,0
NSW,103,Banks,56,Mortdale East,Y,22228,0,Y Ticket Votes,Carers Alliance,1
NSW,103,Banks,56,Mortdale East,Y,21984,1,"CARTER, Marylou",Carers Alliance,2
NSW,103,Banks,56,Mortdale East,Y,21986,2,"BUCKWALTER, Maree",Carers Alliance,0
NSW,103,Banks,56,Mortdale East,Z,22205,0,Z Ticket Votes,Christian Democratic Party (Fred Nile Group),25
NSW,103,Banks,56,Mortdale East,Z,20990,1,"GREEN, Paul",Christian Democratic Party (Fred Nile Group),4
NSW,103,Banks,56,Mortdale East,Z,20992,2,"PEEBLES, Robyn",Christian Democratic Party (Fred Nile Group),0
NSW,103,Banks,56,Mortdale East,Z,20994,3,"NILE, Elaine",Christian Democratic Party (Fred Nile Group),3
NSW,103,Banks,56,Mortdale East,AA,22210,0,AA Ticket Votes,Liberal/Nationals,524
NSW,103,Banks,56,Mortdale East,AA,21762,1,"FIERRAVANTI-WELLS, Concetta",Liberal,4
NSW,103,Banks,56,Mortdale East,AA,21766,2,"HEFFERNAN, William",Liberal,0
NSW,103,Banks,56,Mortdale East,AA,21768,3,"NASH, Fiona",The Nationals,0
NSW,103,Banks,56,Mortdale East,AA,21771,4,"HUGHES, Hollie",Liberal,1
NSW,103,Banks,56,Mortdale East,AA,21774,5,"DENNIS, Joe",The Nationals,0
NSW,103,Banks,56,Mortdale East,AA,21776,6,"BILIC, George",Liberal,0
NSW,103,Banks,56,Mortdale East,AB,22221,0,AB Ticket Votes,,0
NSW,103,Banks,56,Mortdale East,AB,21901,1,"ECKFORD, Michael",,0
NSW,103,Banks,56,Mortdale East,AB,21902,2,"STEVENS, Criselee",,0
NSW,103,Banks,56,Mortdale East,AC,22225,0,AC Ticket Votes,One Nation,12
NSW,103,Banks,56,Mortdale East,AC,21824,1,"WEBBER, Andrew",One Nation,0
NSW,103,Banks,56,Mortdale East,AC,21827,2,"BRETT, John",One Nation,0
NSW,103,Banks,56,Mortdale East,AD,22208,0,AD Ticket Votes,The Greens,219
NSW,103,Banks,56,Mortdale East,AD,21147,1,"RHIANNON, Lee",The Greens,8
NSW,103,Banks,56,Mortdale East,AD,21677,2,"McILROY, Keith",The Greens,0
NSW,103,Banks,56,Mortdale East,AD,21152,3,"JEGATHEESWARAN, Brami",The Greens,0
NSW,103,Banks,56,Mortdale East,AD,21160,4,"SWIFT, Harriett",The Greens,1
NSW,103,Banks,56,Mortdale East,AD,21163,5,"MORRISSEY, Simone",The Greens,0
NSW,103,Banks,56,Mortdale East,AD,21169,6,"KANAK, Dominic Wy",The Greens,0
NSW,103,Banks,56,Mortdale East,AE,22234,0,AE Ticket Votes,,1
NSW,103,Banks,56,Mortdale East,AE,22202,1,"KERNOT, Cheryl",,1
NSW,103,Banks,56,Mortdale East,AE,22201,2,"CANT, Simon",,0
NSW,103,Banks,56,Mortdale East,AF,22229,0,AF Ticket Votes,Liberal Democrats (LDP),32
NSW,103,Banks,56,Mortdale East,AF,22006,1,"DRUERY, Glenn",Liberal Democrats (LDP),0
NSW,103,Banks,56,Mortdale East,AF,22008,2,"GABB, Lucy",Liberal Democrats (LDP),0
NSW,103,Banks,56,Mortdale East,AF,22010,3,"STITT, Peter",Liberal Democrats (LDP),0
NSW,103,Banks,56,Mortdale East,UG,22011,1,"RICHARDSON, Hamish",Independent,0
NSW,103,Banks,56,Mortdale East,UG,22014,2,"HOOPER, Norman H Joseph",Independent,0
NSW,103,Banks,56,Mortdale East,UG,21903,3,"SCOTT-IRVING, Stewart",Independent,0
NSW,103,Banks,56,Mortdale East,UG,21268,4,"PAPE, Bryan",Independent,0
NSW,103,Banks,56,Mortdale East,UG,21937,5,"WHALAN, Andrew",Independent,0
NSW,103,Banks,56,Mortdale East,ZZ,0,99,INFORMAL,,54
NSW,103,Banks,57,Mortdale Heights,A,22214,0,A Ticket Votes,Socialist Alliance,11
NSW,103,Banks,57,Mortdale Heights,A,21446,1,"EVANS, Rachel",Socialist Alliance,0
NSW,103,Banks,57,Mortdale Heights,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,0
NSW,103,Banks,57,Mortdale Heights,B,22230,0,B Ticket Votes,,1
NSW,103,Banks,57,Mortdale Heights,B,22023,1,"HODGES, Robert",,0
NSW,103,Banks,57,Mortdale Heights,B,22024,2,"FRIER, Bob",,0
NSW,103,Banks,57,Mortdale Heights,C,22224,0,C Ticket Votes,,0
NSW,103,Banks,57,Mortdale Heights,C,21904,1,"ROBINSON, Tony",,0
NSW,103,Banks,57,Mortdale Heights,C,21907,2,"SELBY, Noel",,0
NSW,103,Banks,57,Mortdale Heights,D,22215,0,D Ticket Votes,,0
NSW,103,Banks,57,Mortdale Heights,D,21429,1,"HODGES, Darrin",,0
NSW,103,Banks,57,Mortdale Heights,D,21430,2,"FOLKES, Nick",,0
NSW,103,Banks,57,Mortdale Heights,E,22220,0,E Ticket Votes,Building Australia,3
NSW,103,Banks,57,Mortdale Heights,E,21798,1,"BROWN, Ray",Building Australia,0
NSW,103,Banks,57,Mortdale Heights,E,21799,2,"O'DONNELL, Michael",Building Australia,0
NSW,103,Banks,57,Mortdale Heights,F,22212,0,F Ticket Votes,Senator On-Line,1
NSW,103,Banks,57,Mortdale Heights,F,21465,1,"BAS, Wes",Senator On-Line,0
NSW,103,Banks,57,Mortdale Heights,F,21470,2,"ROACH, Brianna",Senator On-Line,0
NSW,103,Banks,57,Mortdale Heights,G,22222,0,G Ticket Votes,Communist,0
NSW,103,Banks,57,Mortdale Heights,G,21787,1,"LAWLER, Geoff",Communist,0
NSW,103,Banks,57,Mortdale Heights,G,21789,2,"KELLAWAY, Brenda Anne",Communist,0
NSW,103,Banks,57,Mortdale Heights,H,22233,0,H Ticket Votes,,0
NSW,103,Banks,57,Mortdale Heights,H,22021,1,"BLOOM, Nadia",,0
NSW,103,Banks,57,Mortdale Heights,H,22022,2,"IRELAND, Bede",,0
NSW,103,Banks,57,Mortdale Heights,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,2
NSW,103,Banks,57,Mortdale Heights,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,0
NSW,103,Banks,57,Mortdale Heights,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,0
NSW,103,Banks,57,Mortdale Heights,J,22219,0,J Ticket Votes,Australian Democrats,5
NSW,103,Banks,57,Mortdale Heights,J,21733,1,"CLANCY, Fiona",Australian Democrats,0
NSW,103,Banks,57,Mortdale Heights,J,21736,2,"MITCHELL, Jen",Australian Democrats,0
NSW,103,Banks,57,Mortdale Heights,K,22218,0,K Ticket Votes,,0
NSW,103,Banks,57,Mortdale Heights,K,21714,1,"SAMPSON, Meg",,0
NSW,103,Banks,57,Mortdale Heights,K,21718,2,"HINCHCLIFFE, J",,0
NSW,103,Banks,57,Mortdale Heights,L,22232,0,L Ticket Votes,,0
NSW,103,Banks,57,Mortdale Heights,L,22019,1,"BELGRAVE, Leon Adrian",,0
NSW,103,Banks,57,Mortdale Heights,L,22020,2,"BEREGSZASZI, Janos",,0
NSW,103,Banks,57,Mortdale Heights,M,22207,0,M Ticket Votes,The Climate Sceptics,3
NSW,103,Banks,57,Mortdale Heights,M,21127,1,"KOUTALIANOS, Bill",The Climate Sceptics,0
NSW,103,Banks,57,Mortdale Heights,M,21134,2,"BROWN, Geoffrey",The Climate Sceptics,0
NSW,103,Banks,57,Mortdale Heights,N,22213,0,N Ticket Votes,Secular Party of Australia,0
NSW,103,Banks,57,Mortdale Heights,N,21229,1,"BRYCE, Ian",Secular Party of Australia,1
NSW,103,Banks,57,Mortdale Heights,N,21233,2,"WARREN, Lyle Richard",Secular Party of Australia,0
NSW,103,Banks,57,Mortdale Heights,O,22216,0,O Ticket Votes,Shooters and Fishers,16
NSW,103,Banks,57,Mortdale Heights,O,21451,1,"MUIRHEAD, Jim Gerard",Shooters and Fishers,1
NSW,103,Banks,57,Mortdale Heights,O,21455,2,"McGLASHAN, Alistair David",Shooters and Fishers,0
NSW,103,Banks,57,Mortdale Heights,P,22226,0,P Ticket Votes,Democratic Labor Party (DLP) of Australia,8
NSW,103,Banks,57,Mortdale Heights,P,22015,1,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,57,Mortdale Heights,P,22016,2,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,0
NSW,103,Banks,57,Mortdale Heights,Q,22203,0,Q Ticket Votes,Australian Sex Party,17
NSW,103,Banks,57,Mortdale Heights,Q,20841,1,"LEISHMAN, Marianne",Australian Sex Party,0
